Cell Name	M65A	P60B	P50B	P45B
Manufacturer	Molicel	Molicel	Molicel	Molicel
Maximum Nominal Voltage (V)	4.2	4.2	4.2	4.2
Nominal Nominal Voltage (V)	3.6	3.6	3.6	3.6
Nominal Capacity (Ah)	6.5	6	5	4.5
Power (Wh)	23.4	21.6	18	16.2
Continuous Discharge Current (A)	26	60	60	45
Mass (g)	74.5	75	71	70
Volume (L)	0.027347425	0.026250983	0.027158388	0.025586572
Volumetric Energy Density (Wh/L)	943	863	714	633.1446024
Gravimetric Energy Density  (Wh/kg)	322	280	260	231.4285714
Typical DCIR (mohm)	25	12.8	12.8	15
